1-21-20	0000008981-001
10221	0000007053-011
12201	0000008479-001
11022	0000007615-011
2-12-01	0000001971-001
1-22-10	0000000734-001
12102	0000008412-011
13102	0000009140-001
1-23-10	0000003232-001
1-23-01	0000002619-001
1-21-30	0000004403-001
1-21-03	0000003668-001
1-30-12	0000001659-001
1-30-21	0000002519-001
1-31-02	0000003306-001
1-20-31	0000003609-001
1-31-20	0000002159-001
1-20-13	0000000985-001
1-32-01	0000004110-001
1-32-10	0000000639-001
13210	0000009217-002
13201	0000009211-001
13120	0000009153-001
13021	0000009073-001
13012	0000009067-001
12310	0000008557-013
12301	0000008550-001
12130	0000008432-001
12103	0000008413-001
12031	0000008355-001
12013	0000008340-001
11320	0000007817-001
11302	0000007805-001
11230	0000007765-011
11203	0000007750-001
11032	0000007622-011
11023	0000007616-001
10123	0000006975-001
10132	0000006981-011
10213	0000007048-001
10231	0000007060-001
2-13-10	0000002751-011
2-13-01	0000002609-011
10312	0000007121-002
10321	0000007125-001
2-03-11	0000000468-001
2-01-31	0000000145-001
2-01-13	0000000055-011
2-04-11	0000000987-001
1-24-01	0000003294-001
1-01-24	0000000816-011
1-20-14	0000001276-001
11024	0000007617-001
12401	0000008619-001
10421	0000007197-011
10124	0000006976-001
1-14-20	0000000190-001
10142	0000006989-011
12410	0000008622-011
1-40-21	0000005435-001
1-20-41	0000005453-001
1-41-02	0000003167-011
12014	0000008340-002
2-14-01	0000002963-001
2-14-10	0000002973-001
10241	0000007067-001
1-42-01	0000005218-001
1-41-20	0000000023-001
1-40-12	0000000447-001
11204	0000007750-011
1-21-40	0000000805-001
10412	0000007191-001
1-24-10	0000006040-001
12041	0000008361-001
11240	0000007770-001
10214	0000007049-001
2-01-41	0000000210-001
11420	0000007872-002
1-42-10	0000004381-001
1-14-02	0000000009-011
1-21-04	0000003709-001
11042	0000007627-002
12140	0000008439-011
12104	0000008413-011
2-01-14	0000001261-011
11402	0000007863-001
12150	0000008444-011
1-25-01	0000000811-001
1-20-51	0000007434-001
2-01-15	0000008444-011
11052	0000007633-011
11025	0000007618-001
1-25-10	0000001906-001
11250	0000007775-011
2-15-10	0000003393-001
1-52-10	0000001185-001
2-15-01	0000003337-001
1-50-12	0000000642-001
10152	0000006997-001
2-01-51	0000000246-001
11205	0000007750-012
1-52-01	0000001163-002
11502	0000007936-001
12510	0000008690-001
10512	0000007269-001
1-51-20	0000000957-001
10521	0000007275-001
12501	0000008684-001
11520	0000007951-001
10125	0000006977-001
12051	0000008371-001
12015	0000008341-001
1-15-02	0000000903-001
1-15-20	0000001090-011
1-20-15	0000001485-001
10251	0000007077-001
1-21-50	0000001649-001
1-50-21	0000000662-001
2-05-11	0000001311-013
12105	0000008414-001
10215	0000007049-011
1-21-05	0000003741-001
1-51-02	0000000907-001
1-60-21	0000003358-001
10261	0000007085-011
10216	0000007050-001
12610	0000008753-011
12016	0000008342-001
1-20-16	0000001635-001
1-26-01	0000003619-001
12061	0000008382-001
12160	0000008453-001
1-01-26	0000000049-001
11062	0000007641-001
